content,valence,arousal,dominance
handheld,6.26,3.61,6.14
trace,4.74,2.84,5.95
disposal,4,4.42,4.1
shut,4.5,4.05,5.61
voluntary,5.76,3.95,6.71
consult,5.41,3.77,5.83
mask,4.81,3.26,5.1
midnight,6.18,4.05,6.26
photographer,6.71,3.58,5.65
inform,5.18,3.33,6.4
coal,4.56,2.55,4.88
cry,3.22,5.45,2.56
quantum,5.15,4.67,4.85
intent,5.86,4.32,6.25
zoo,7,5.63,6.33
pleasant,7.24,2.91,6.7
announce,5.52,3.65,5.48
aka,4.63,3.39,4.4
arrow,5.24,3.91,5.53
engagement,6.65,5.19,6.29
rough,3.68,5.43,4.88
weird,5.09,4.29,4.75
tee,5.4,3.68,6.15
lion,5.84,5.29,4.86
inspired,6.89,5.56,7.3
blade,3.9,4.52,4.56
oxygen,7.25,4.9,5.69
cookie,7.32,4.7,6.1
canyon,5.5,3.9,4.1
arrangement,5.71,3,5.5
pointer,4.57,3.73,6.12
compatibility,6.5,5.32,5.5
stretch,5,4.73,6.23
cooperative,6.62,3.43,6.72
sleeve,5.95,3.26,6.05
cleaner,5.8,3.17,6.14
cricket,5.71,3.22,4.88
beef,6.11,4.37,6.32
stroke,4.19,4.95,4.19
township,5.35,2.9,5.33
robin,6.63,2.64,4.35
strap,5.1,4.23,5.71
headquarters,4.95,4.04,5.89
crowd,4.48,5.15,5.21
surf,6.05,5.57,5.18
transformation,6.14,5.56,5.42
personality,6.14,4.5,6.71
rainbow,7.3,3.94,6.11
hook,4,4,5.68
roulette,4.37,5.48,3.56
decline,3.19,3.6,3.71
gloves,5.2,3.17,5.75
cord,5.38,4.2,5.47
skiing,6.25,5.4,5.7
cloud,6.2,2.81,4.79
facilitate,4.63,3.62,6.58
subscriber,5.71,2.95,4.82
valve,5.1,3.84,6.12
proceed,5.7,3.43,6.38
knife,4.33,4.86,5.29
shelf,5.62,3.09,6
bookstore,7.19,4.25,7.15
timing,5.67,3.4,5.36
parenting,7.24,4.92,6.27
adopt,6.9,4.71,5.45
incredible,7.59,6.35,7.74
donation,7,4,6.73
outer,5.19,3.27,5.19
crop,5.88,3.19,5.09
pharmaceutical,4.67,3.35,5
seeds,5.8,3.64,5.84
hub,4.95,3.4,5.45
twelve,5.32,3.42,5.86
founder,5.45,3.95,5.69
decade,4.75,3.61,4.79
dispute,2.52,4.55,4.14
tired,4.29,3.67,5.06
adverse,3.68,3.89,3.35
steam,5.4,4,4.84
discharge,3.4,4.94,4
ace,6.37,4.64,6.61
acute,5.1,5.09,5.11
sing,7.5,4.1,6.67
perfume,6.58,4.28,5.71
honest,8.16,4,6.7
hazardous,2.8,5.25,4.36
restore,5.86,4.1,6.76
stack,5.33,3.33,5.86
methodology,4.84,3.41,5.48
sue,2.18,6.15,5.58
reputation,5.63,5,5.58
resistant,3.86,4,4.75
recycling,6.25,3.52,6.6
hang,3.1,4.86,4.61
curve,5.81,4.52,5.14
creator,6.45,4.89,6.12
amber,6.15,3.36,6.21
qualifications,5.37,4.76,6.19
coding,5.24,3.45,4.62
tracker,4.87,4.59,5
variation,5.53,3.9,5.57
passage,5.88,3.35,5.68
trunk,5.02,3.51,5.46
headset,5.37,4.1,5.7
photograph,6.61,4.57,5.8
camel,5.29,3.1,5.21
distributor,4.62,3.2,5.74
underlying,4.87,4.7,4.72
hood,4.95,3.33,4.86
wrestling,4.62,4.24,5.12
suicide,1.58,6.21,4.21
projection,5.2,3.6,5.05
juice,6.9,4.6,5.74
chase,3.77,6.6,4.68
mathematical,5.29,3.48,6
logical,6.38,3.83,7.29
sauce,6.58,3.95,5.85
fame,5.45,4.63,6.27
extract,5.15,3.45,6.18
diagnostic,4.81,4.57,4.33
payable,6.75,3.95,6.15
courtesy,6.79,4.3,5.96
criticism,3.84,5.95,4.17
automobile,5.45,3.91,6
confidential,6.05,4.5,5
statutory,4.37,5,4.32
northeast,5.5,3.65,5.9
bracelet,6.48,3.96,5
juvenile,3.74,3.85,4.12
injection,2.89,5.67,3.5
protective,6.53,3.96,6.61
afraid,2.25,5.12,2.71
acoustic,7.1,4,5.79
railway,5.42,3.25,5
cassette,5.36,3.77,5.8
indicator,5.47,2.86,5.04
mistake,2.89,4.93,4.69
eliminate,3.89,3.64,5.48
fusion,5.6,5,4.83
mineral,6.05,2.86,4.67
sunglasses,6.72,3.67,5.83
ruby,6.79,4.05,6
steering,4.9,3.22,7.29
fortune,7.24,5.8,6.68
preference,6.16,4.23,7.27
canvas,5.67,2.7,5.89
threshold,5.53,3.09,4.61
parish,4,3.45,5.57
cemetery,3.49,4.1,3.82
planner,6.32,4,5.83
stadium,5.53,5.25,5
exploration,6.71,5,5.36
coupon,6.3,4.22,5.54
stem,5.1,3.47,6.19
proxy,4.95,3.2,4.41
astronomy,6,4.33,5.21
opt,4.85,2.44,6.32
flu,2.58,4,2.8
translate,5.67,2.75,5.55
costume,6.05,4.78,6.36
killer,1.74,7.05,4.43
rap,5.6,4.3,4.82
tune,7,3.73,5.76
bishop,4.53,3.77,4.82
corn,5.95,3.43,5.65
compression,4.79,4.19,4.77
seasonal,6.58,4.3,4.68
farmer,6.14,3.67,6.1
constitutional,5.68,3.86,5.41
tin,4.95,2.73,5.54
slave,2.06,4.53,2.61
litigation,3.8,4.33,4.21
broadcasting,4.68,4.14,5.58
horizontal,5.86,4.25,4.45
artwork,6.76,4.18,6.33
cosmetic,5.09,4.87,5.74
portrait,6.05,3.2,7
terrorist,2.35,6.09,3.02
ethical,5.78,3.78,5.71
mobility,5.53,4.7,7.11
floral,7.42,2.73,5.15
struggle,3,5.9,3.67
neutral,5.5,3.45,5.81
rat,3.21,5.9,3.35
prospective,5.76,4.78,5.75
bedding,5.05,3.65,6
artificial,3.86,4.17,4.55
spectacular,7.5,6.65,6.04
coordination,6.11,3.45,6.52
combo,6.17,4.48,5.5
guilty,3.09,4.65,4.5
activation,6.14,3.52,6.88
haven,6.36,2.9,6.88
tablet,6.21,3.65,6.1
jury,4.23,5.2,5.21
tail,5.3,3.27,5.32
charm,7.34,4.51,6.43
lawn,6.05,2.62,6.04
violent,2.26,6.3,3.65
underwear,5.35,4.46,5.7
basin,5.47,2.77,4.75
soup,7.05,4.24,6.64
ranch,5.91,5.3,5.68
dimensional,6.16,3.41,4.79
cottage,6.63,2.95,6.08
drunk,4.06,5.05,2.94
considerable,6,3.86,6.52
toner,5.11,4.14,5.65
nose,5.5,3.1,4.61
latex,3.95,3.72,5.54
alien,4.45,4.86,3.56
locator,5.14,2.83,5.45
pantyhose,5.5,4.08,5.44
complexity,5.37,5.13,5.84
resolve,5.85,2.65,6.92
presidential,4.95,4.06,5.18
documentary,5.91,3.76,5.41
cod,5.21,3.95,5.37
thesis,4.7,4.1,5.88
nylon,4.9,3.61,5.19
frequent,5.57,4.05,5.88
trim,4.64,3.38,6.32
ceiling,5.39,2.75,5.16
legislature,3.55,3.22,4.48
hospitality,7.27,3.33,7.09
fleet,5.4,4.43,6.24
bunch,5.83,2.81,4.56
theoretical,4.8,3.9,4.97
afford,6.56,4.33,6.44
referral,5.52,4.52,5.64
surveillance,3.35,4.85,5.48
quit,3.72,4.05,4.39
distinct,5.55,3.67,5.8
lung,4.84,2.64,4.74
highlight,6.58,3.8,6.25
substitute,4.91,3.59,5.25
brilliant,7.5,5.95,7.16
gel,5.67,3.21,5.25
omega,5.5,4.65,5.36
civic,5.74,3.5,5.5
termination,2.95,5.9,3.38
saver,6.44,2.68,5.84
grill,6.64,5.26,5.62
redeem,5.95,4.2,5.35
grain,5.83,1.6,5.12
authentic,6.91,4.55,6.58
regime,4.17,3.89,4.56
bull,3.95,4.9,6.89
architectural,6.32,4.05,5.18
depend,5,4.45,6.21
differ,5.1,3.26,5.47
breath,6.61,2.35,5.78
mart,5.32,3.55,5.24
candle,6.14,3.81,6.08
colored,6.57,4.73,5.36
authorization,5.86,4.32,4.77
tale,5.95,3.09,6.19
projector,5.42,3.78,5.24
comparative,5.05,3.91,6.56
STD,1.95,5.36,3.42
herbal,6.14,3.87,5.25
psychological,4.77,4.81,5.33
surprised,6.57,5.95,4.72
elegant,7,4.43,5.95
renewal,5.86,5.23,6.14
genealogy,5.85,3.94,4.96
hacker,4.5,5.24,3.74
margin,4.75,3.71,5.15
coin,6.55,3.13,6.24
fake,2.62,5.15,4.47
salon,5.58,3.76,5.52
turbo,5.95,5.62,6.21
cure,7.81,4.5,5.45
commander,4.73,4.6,6.68
arch,5.8,3.15,5.45
suggestion,5.79,4.18,6.41
soldier,5.45,5.9,5.84
bomb,2.47,5.71,3.14
harm,1.91,5.9,3.95
interval,5.05,3.43,5.7
spotlight,5.74,4.95,5.91
reset,4.65,3.17,5.86
brush,5.47,3.18,6.18
investigate,5.68,4.09,5.43
assault,2.05,6.8,3.49
spare,5.57,4.45,5.63
logistics,5.05,3.76,5.65
deer,6.89,3.95,4.89
tongue,6.29,4.25,6.32
bowling,6.68,4.05,5.2
pal,6.67,3.25,5.11
monkey,5.82,5.15,5.74
proportion,5.2,3.73,5.68
skirt,6.14,4.88,5.86
invest,6.16,3.95,5.94
honey,7.27,4.38,6.39
significance,6.21,4,5.96
scenario,5.58,2.91,5.96
atomic,4.26,5.85,3.96
symposium,4.86,4.04,6
gauge,5.17,3.5,5.23
junction,5.21,3.86,6.36
mat,5,2.86,5.3
oven,6.16,2.95,6.04
intensive,4.25,4.38,5.9
engage,6.6,5.28,6.42
deviant,3.35,5.62,4.38
noon,5.38,2.87,6.22
correspondence,6.59,5.05,5.71
supervision,4.26,5.05,4.55
cheat,3.05,4.91,4.37
bronze,5.81,3.62,5.4
separation,3.05,3.67,4
testimony,5.05,4.22,4.63
suspect,2.39,4.57,3.22
macro,5.2,3.85,5.45
sender,6.43,3.24,5.45
mandatory,3.9,3.89,3.54
crucial,5.16,4.14,4.91
gym,5.84,5,5.96
celebration,7.53,5.9,7
adjacent,5.15,2.78,4.27
tuition,3.53,4.41,4.57
spouse,7.44,5.76,4.73
exotic,7.55,6.9,5.65
viewer,5.53,3.57,5.5
receptor,5.63,3.36,6.11
laugh,7.56,6.62,7.39
surgical,3.95,5,3.75
destroy,2.67,5.16,4.3
citation,3.7,3.8,3.86
pitch,5.52,3.42,5.75
premises,5.05,4,5.63
offensive,3.8,4.95,5.17
imperial,4.5,4.67,4.79
dozen,5.78,2.95,5.56
deployment,3.32,5.95,3.71
teeth,5,3.8,5.65
cloth,6.2,2.58,5.4
stamp,5.8,3.45,6.69
lotus,6.24,3.77,4.86
salmon,6.48,3.87,4.81
cargo,5.21,2.68,5.64
tan,6.05,3.75,5.5
directive,5.7,4.3,5.96
mate,7.18,5.95,6.79
starter,5.71,4,5.58
butter,6.36,3.37,5.67
pepper,5.63,4.3,5.75
weapon,3.95,6.27,4.88
luggage,5.19,3.75,5.42
burden,3.05,3.96,3.14
chef,6.15,3.05,6.67
isle,6.05,3.24,4.7
stylish,5.68,4.27,6.07
slim,6.63,4.26,4.47
maple,6.09,3.77,5.47
grocery,6.62,3.48,6.33
offshore,4.95,3.5,4.13
depot,5.18,3.19,5.45
comp,6.16,3.52,5.74
pie,6.45,4.05,6.29
blend,5.63,3.48,5.36
emission,4.1,3.67,4.68
spec,4.5,3.87,5.11
realty,4.95,3,5.18
bow,5.46,3.85,5.95
apparent,4.96,3.19,6.4
autumn,7.12,3.21,5.17
probe,3.63,4.48,4.18
toilet,3.71,4.5,6.37
excited,8.11,6.43,7.33
outreach,4.94,3.95,5.74
recover,6.4,4.42,5.91
timely,6.14,3.48,5.9
delayed,3.05,4.05,3.27
chuck,5.06,3.95,5.04
explicit,4.82,5.23,4.18
calculation,5.33,4.48,6.09
consolidated,4.5,3.8,5.54
exclude,3.55,4.81,4.67
exceptional,7.32,5,6.32
anxiety,2.38,4.78,3.39
bingo,5.62,5,5.23
spatial,4.73,3.38,5.88
ceramic,5.74,3.57,5.47
prompt,6.33,2.9,5.92
precious,6.84,3.64,5.75
sunny,7.95,5.38,5.11
necklace,6.85,3.52,5.64
composite,4.89,3.55,5.35
unavailable,3.52,3.85,3.67
cedar,6.32,3.21,5.1
stud,4.89,5.14,5.05
fold,5.19,3,6.67
qualify,6.77,6.05,6.48
diagram,5.47,3.71,6.13
footwear,6.43,4,5.18
attach,5.26,3.81,4.7
spider,3.35,6.91,3.74
sensitivity,5.5,5.3,5.42
preservation,6.68,4.6,6
interim,4.68,3.68,5.4
divine,7.15,3.05,5.96
approve,7,4.09,7.26
compound,5.62,3.5,5.45
intensity,5.19,7.05,5.34
technological,5.3,4.56,6.25
syndicate,4.35,3.06,4.67
abortion,2.58,5.43,4.73
blast,4.45,4.5,4.45
wellness,7.67,4.56,6.95
calcium,5.7,3.14,5.97
pole,5.6,3.05,4.59
shield,5.91,3.65,6.41
harvest,6.57,3.76,6.24
membrane,4.95,3.23,4.33
constitute,4.57,3.18,5.5
pickup,4.84,3.85,6.5
desperate,3.19,5,3.21
demonstration,5.5,3.53,5.2
governmental,2.89,3.8,3.04
graduation,6.47,5.83,5.59
mega,5.6,5.11,6.21
bend,5.75,4.4,6
sacred,6.95,5,5.12
addiction,3.52,4.48,3.84
chrome,6.26,4,5.25
brake,4.9,3.82,5.67
exterior,5.55,3.39,5.91
greeting,5.89,4.94,6.29
olive,6.05,3.92,5.18
unemployment,2.32,5.59,2.95
enhancement,6.29,4.39,6.22
clone,4.18,3.95,5
velocity,5.59,5.74,6.14
relay,4.86,4.25,5.81
oasis,8,4.95,5.73
baseline,5.4,2.52,5.16
cab,4.81,4.05,6.47
angry,2.53,6.2,4.11
silicon,5.1,4.05,6.19
identical,5.3,4.4,5.35
petroleum,3.95,3.81,5.35
compete,5.35,4.4,5.68
lover,8.05,7.45,6.37
belong,6.5,2.9,5.44
pond,6.32,2.32,5.95
soundtrack,6,4.26,5.72
daddy,7.27,4.24,5.78
ferry,6.3,2.71,5.43
rabbit,7.21,3.98,5.95
profession,5.52,3.33,6.48
seating,5.33,2.91,5.04
dam,4.58,3.67,5.26
physiology,5.16,4.9,5.24
tire,4.55,3.09,5.52
participant,5.32,3.29,6.43
recreational,6.76,4.9,6.16
electron,5.33,3.82,4.57
friendship,7.76,5.2,6.95
passport,6,4.35,5.32
motel,5.3,3.55,4.52
treasury,5.8,4.29,6.04
warrant,3.23,5.61,4.11
royalty,5.52,4.32,5.68
rally,4.71,5.35,5.62
observer,5,4.5,6.08
sunshine,8.14,5.32,5.43
strain,3.71,4.78,4.08
drag,3.68,4.81,5.52
ceremony,6.38,3.83,5.67
provincial,5.22,2.85,5
ripe,5.57,4.78,5.72
rely,5.76,3.8,5.05
laundry,5.15,4.5,6.09
homework,3.32,4.74,5.16
adjust,5.76,3,6
encryption,5.14,4,5.32
sophisticated,6.32,5.13,6.18
silence,5.25,3.48,6.26
soviet,4.1,3.43,4.83
possession,5.14,4.04,5.47
treaty,5.42,3.7,5.62
vocal,5.81,3.91,6.28
trainer,5.16,4,5.25
organ,4.95,3.41,5.55
volumes,6,3.43,6.2
lemon,6.37,4.52,5.43
toxic,2.35,5.29,4.13
darkness,4.71,4.08,4.82
nail,4.6,3.05,5.17
span,5.74,3.1,5.78
stockings,6.21,4.81,4.81
joke,7.88,5.73,5.79
statute,5.18,3.65,5.67
rejected,2.4,4.7,2.43
satisfy,7.09,5.53,6.33
shelter,6.5,3.25,6.11
chapel,6.67,2.45,3.8
manufacture,5,4.41,5.45
vulnerability,3.42,4.65,3.75
accountability,4.89,3.7,6.55
celebrate,7.84,6.73,6.12
appliance,5.15,2.84,5
compressed,4,3.57,4.83
mixture,5.9,3.52,6
bench,5.5,3.46,5.81
tub,6.1,3.8,5.14
rider,5.36,4.41,5.37
radius,5.3,4.55,5.06
mortality,5.15,6.9,3.58
therapeutic,6.29,2.18,6.59
impressive,7.05,4.1,6.08
sheep,5.32,2.95,4.42
architect,6.21,3.25,6.05
railroad,5.68,3.95,5.29
nursery,6.1,4.29,4.89
microwave,5.25,4,5.6
relocation,4.63,4.2,5.17
salad,6.35,3.78,6.11
tender,6.47,3.22,5.85
foam,5.25,2.9,5.1
paste,4.95,2.62,5.84
clouds,6.76,2.27,5.09
discretion,5.4,3.57,5.88
preserve,4.9,3,6
poem,6.62,4.15,6.31
praise,7.65,5.45,6.57
veteran,6.86,4.16,5.41
landing,5.09,3.62,5.62
realistic,5.89,4.09,6.77
showcase,6.29,3.71,4.4
integral,5.19,3.65,6.11
relax,7.82,2.38,6.94
congressional,4.29,3.82,4.05
prairie,5.33,2.41,5.38
reunion,6.37,4.61,5.76
composer,6.42,3.36,5.59
bean,6,2.95,5.6
sword,5.27,5.95,6
absent,4.1,3.72,4.21
photographic,6.81,4.19,5.58
coral,6.42,3.18,5.5
float,6.42,3.1,5.91
bias,3.95,4.27,5.44
bubble,6.43,4.19,6.12
acquire,5.5,4.86,7
contrary,4.5,3.71,5.36
millennium,4.85,4.59,4.71
tribune,4.84,3.78,5.71
vessel,5.2,3.62,4.28
dairy,6.09,3.9,6.39
admit,5.56,3.35,4.56
fancy,7.43,5.42,7.16
equality,6.75,4.73,6
tap,5.33,3.95,6.12
companion,7.25,4.06,6.09
squad,5.35,4.33,5.82
analyze,5.65,4.1,5.96
scroll,5.32,3.86,5.82
relate,6.05,3.64,6
swim,6.71,6.05,6.47
suffer,2.05,4.5,3.32
fellowship,6.43,2.91,5.94
invalid,3.52,3.7,5.1
martial,5.4,4.23,4.59
retain,6.25,2.76,5.76
execute,3.94,5.79,5.04
tunnel,4.48,4.09,4.31
chaos,2.84,6.31,3.31
wheat,4.95,3.94,5.75
beaver,5,4.05,5.15
distribute,5.05,3.72,4.82
decorative,7.52,4.76,6.45
confused,3.11,4.28,4.13
enlargement,4.65,3.86,5.4
bee,3.68,5.65,5.32
unity,6.67,4.8,6.66
conjunction,5.19,4.25,5.55
bride,6.8,4.5,6.08
indigenous,4.75,4.22,4.96
brunette,6.35,4.15,5.36
anchor,5.16,3.32,5.29
validation,5.7,4.2,6.44
parade,6.37,4.8,5.78
corruption,3,4.86,3.63
stat,4.86,3.76,5.11
trigger,4.85,5.85,5.27
cholesterol,3.76,3.05,5.95
differential,4,3.62,5.05
dramatic,5.17,6.59,4.77
terrible,2.1,4.39,3.4
pendant,5.83,4.05,5.68
scientist,5.83,4.14,6.68
arthritis,2.32,4.27,2.63
fever,2.92,5.02,3.12
cuisine,6.88,4.51,5.75
transcript,5.24,3.3,6.28
inflation,2.91,4.5,4
pray,6.57,3.25,6.58
pope,5.18,4.21,4.24
Pope,3.7,3.59,3.84
jeep,5.53,4.05,5
bare,5.5,4.65,5.58
cattle,5.42,2.64,4.74
radical,4.36,5.27,5.21
controlling,3.45,5.69,5.29
treasure,7.65,6.3,6.04
reload,5.13,4.27,5.95
flame,5.9,6.6,4.64
monetary,6.32,4.46,5.62
elderly,4.63,2.73,4.91
pit,3.85,3.5,4.04
mono,3.85,3,4.88
extraordinary,7.45,4.22,6.85
tile,5,2.89,4.82
spell,6.18,4.15,6.58
coordinate,5.5,4.59,6.95
alleged,3.62,5.09,4.27
compile,5.21,3.75,5.82
illustration,6.37,4,6.26
construct,5.4,4.33,5.36
bridal,6.2,4.84,5.54
annex,4.41,4,5.26
inspiration,6.53,4.77,6
tribal,5.17,4.56,4.58
curious,6.58,5.74,6.88
freight,4.21,3.78,4.8
eclipse,6.76,5.12,5.79
shuttle,5.65,3.81,5.86
stunning,6.24,6.5,5.81
detect,5.09,4.57,6.32
knee,4.7,4.25,5.38
prep,5.29,3.19,6.45
complicated,3.82,5.75,5.79
butler,5.62,2.55,6.04
payroll,6.19,3.82,5.11
cookbook,6.45,3.45,5.95
ton,5,3.55,5.08
courier,5.5,3.67,5.79
collapse,3.37,6.14,3.74
unlikely,3.85,3.82,4.81
techno,5.53,5,5.18
beverage,7.17,3.38,6.58
tribute,6.44,4.27,5.91
immune,6.38,4.5,6.17
barrier,4.47,4.7,4.88
argue,3.15,6.67,4.77
incorrect,3.09,3.62,4.62
bicycle,6.71,3.95,6.2
furnishings,6.25,3.22,6.43
arise,6.17,4.76,5.87
particle,5.24,4.74,4.59
perception,6.05,3.57,6.2
advise,5.44,3.38,6.41
humidity,3.86,4.19,3.68
boxing,4.47,5.73,5.63
pathology,3.91,4.15,4.83
bra,5.9,3.92,5.63
ordinance,4.75,3.95,4.67
chess,5.05,2.86,5
survive,6.9,4.53,6.21
duck,6.11,4,5.3
reveal,5.86,4.14,6.5
canal,5.71,4.05,5.81
amino,4.45,3.83,5.73
phi,4.33,3.32,5.17
herbs,6.09,3.96,5.68
cow,5.42,2.95,5.24
analytical,6,4.13,6.43
strict,3.65,4.5,5.27
dive,5.81,3.79,5.75
circulation,5.71,4.05,5.59
drill,4.73,5.11,5.48
offense,4.05,4.67,4.4
protest,4.42,4.18,4.93
assumption,4.3,4.14,5.03
hobby,6.67,3.05,6.81
invention,6.4,4.24,6.67
nickname,6.14,4.38,5.7
technician,5.65,3.33,4.81
cognitive,5.68,5.27,6.47
trick,4.89,5.57,3.22
closure,5.21,3.19,5.7
raid,3.35,5.62,3.91
timber,4.9,3.73,5.37
intense,5.65,6.6,5.57
registrar,5.37,3.27,4.79
ruling,4.22,4.52,5.47
steady,6.67,3,6.42
dirt,4.5,3.44,4.7
withdrawal,4.45,4.32,4.41
cancellation,3.74,3.9,5.28
screw,5.24,5.4,5.16
hourly,5.55,2.67,5.12
blame,2.94,4.81,3.33
veterinary,5.74,3.75,5.33
intake,5.53,4,6.35
informal,5.05,3.24,5.58
relevance,5.7,4.84,5.73
incentive,7.05,4.61,6.7
butterfly,7.23,3.2,5.51
mechanics,6,3.91,5.21
fifty,4.74,3.45,5.9
numerical,5,2.76,5.43
geek,5.56,3.82,5.5
uncle,6.5,4.05,5.24
reflection,5.7,4.1,5.65
sink,4.62,3.7,4.1
assure,6.33,3.1,6.52
invitation,7.05,4.94,6.43
devoted,7.16,4.22,6.21
sodium,4.17,3.73,5.33
spirituality,7.26,3.1,6.7
hormone,4.86,4.87,4.33
proprietary,4.55,3.39,5.44
brick,4.65,2.53,5
grip,5.14,3.64,5.59
naval,5.19,2.86,5.15
medieval,5.6,4.4,5.29
porcelain,6.14,3.14,5.24
decent,6.27,4.15,6.74
warrior,5.5,5.94,5.86
diploma,6.32,5.25,6.82
cabin,5.9,3.74,6.3
innocent,6.55,4.4,5.92
consensus,5.74,3,5.38
polo,5.21,3.95,4.6
valium,4.64,2.67,3.86
cordless,6.45,4.05,5.9
horn,5,4.22,5.68
journalism,4.95,4.22,5.67
trivia,5.7,3.82,6.19
Adidas,5.77,4.18,6.3
frog,5.84,4.07,5.5
grammar,6.25,4.21,6.76
intention,5.58,3.91,6.81
disagree,2.84,4.9,5.45
hazard,2.9,5.77,4.22
retro,5.6,4,5.76
circular,5.47,3.4,5.25
anger,2.5,5.93,5.14
mainland,5.3,3.67,5.71
interact,6,3.78,5.46
snap,4.42,3.42,4.86
happiness,8.48,6.5,7.05
bizarre,4.41,5,4.5
ribbon,6.7,3.63,5.31
handy,6.19,3.62,6.16
swap,5.24,3.7,5.12
exempt,4.84,4.43,5.54
geometry,4.57,3.09,5.04
impression,6,3.86,5.43
flip,5.6,4.62,5.32
guild,5.43,4.6,6.29
correlation,5.09,3.23,5.25
gorgeous,7.57,4.92,7.05
nervous,3.56,5.51,4.02
refuse,3.42,4.32,4.5
fragrance,6.67,4.72,6.56
replica,5.4,3.5,4.86
plumbing,4.45,3.36,5.5
tribe,5.63,4.29,5.5
superb,7,4.33,6.64
transparent,5.37,3.45,5.33
nuke,3.67,5,3.29
rid,3.67,4.38,5.06
boom,4.74,5.57,5.14
calm,6.89,1.67,7.44
inappropriate,3.7,4.95,4.35
exhaust,4,4.26,4.36
farming,5.47,3.25,5.83
fork,5.47,3.35,6.02
roller,5.35,3.15,4.95
batch,5.57,3.29,5.43
organize,6.75,4.05,6.95
alter,4.57,4.17,5.57
skilled,7.05,5,7.43
harmony,7.55,4.33,5.96
distinguished,6.62,4.4,5.86
asthma,2.45,4.5,3.54
rip,3.28,5.26,4.12
triangle,5.21,3.5,5.06
amend,5.85,3.06,4.96
oriental,6.26,3.18,5.45
reward,7.47,5.58,6.33
hydrogen,5.04,3.83,5.29
sprint,5.67,5.9,5.72
comparable,5.4,4,5.95
chick,5.86,4.04,5.32
advocate,5.25,4.59,7.26
confusion,3.32,4.64,3.08
tray,5.14,3.57,6.05
genome,5.84,3.41,4.32
thong,5.48,4.68,5.16
medal,5.2,5.3,5.88
sage,5.79,3.33,5.25
vulnerable,3.57,4.5,3.05
arrange,5.15,3.57,6.71
artistic,7,5,6.86
bat,4.81,4.57,4.29
booth,5.25,4.35,5.17
indie,5.57,4.1,5.84
unified,6.42,3.57,5.3
breed,5.74,4.1,6.17
detector,4.42,4.52,5.59
polar,5.19,3.95,4.1
precise,6.1,5.25,6.17
respiratory,4.45,3.77,5.75
mainstream,4.55,3.38,5.48
invoice,4.6,3.68,5.7
lip,6.38,4.6,5.95
subcommittee,5.1,4.15,4.9
sap,4.19,3.92,4.77
gather,5.72,3.7,6.16
maternity,5.76,4.83,4.81
colonial,4.95,2.71,5.1
embassy,5.3,3.91,5.79
cave,5.15,4.39,4.45
slight,4.6,3.78,5.62
proceeds,5.79,3.65,5.92
indirect,3.58,3.77,4.41
wool,5.38,2.58,6.05
arrest,2.33,6.86,3.11
volleyball,6.27,4.55,5.65
horizon,6.48,4.25,4.59
toolbox,4.7,4.05,6.42
patio,6.61,2.55,5.64
tolerance,6.43,3.36,5.96
creativity,7.73,5.3,6.79
optics,6.37,3.05,5.32
pursue,5.39,4.45,6.12
lightning,5.34,6.75,4
overcome,6.81,5.75,6.32
grab,5.44,4.5,5.28
inspector,4.33,3.61,5.89
attract,6.38,5.35,5.6
disable,3.58,3.6,4.04
snake,4.03,7.24,3.65
succeed,7.05,6.71,6.1
reminder,6,3.48,6.33
behavioral,5.1,4.1,5.96
karaoke,6.29,5,6.17
trap,3.24,4.36,3.78
lonely,2.67,4.37,3.33
fool,3.56,4.86,2.94
observe,5.3,4.25,5.92
collar,4.95,3.33,4.63
racial,3.65,4.05,4
integrate,5.78,3.37,5.08
sociology,4.6,3.82,5.19
confident,7.56,4.62,7.04
terrace,5.33,3.52,4.86
bacteria,3.3,4.24,3.44
seafood,6.45,4.73,5.54
ought,5,3,4.39
delicious,7.38,4.92,5.8
jail,1.91,4.47,3.91
finite,5.68,4.43,4.79
kidney,4.9,3.95,5.44
allied,5.95,3.38,5.4
moisture,5.5,4.39,4.14
roster,4.71,3.09,6.12
transform,6.05,4.86,6.13
timer,4.81,4.17,4.27
vegetable,6.79,3.75,5.17
verse,6,3.65,6.35
custody,4.74,4.14,5.54
scratch,4.95,4.35,4.5
alignment,6,3.92,6.32
rocket,5.8,5.04,5.57
bullet,3.45,5.89,3.93
lace,6.58,3.75,6.7
nasty,2.95,5.44,3.98
visibility,6,3.09,5.67
latitude,4.82,3.74,5.47
consciousness,6.48,3.33,7.37
tumor,2.05,5.33,2.5
ugly,2.47,4.43,3.86
mistress,3.86,5.96,5.33
encounter,5.16,4.67,5.3
forty,5,3.32,5.89
attempted,5.35,3.64,6.52
priest,4.5,3.76,5.82
queue,5.26,3.1,5.17
trance,5.24,4,3.18
bundle,5.1,3.48,5.12
hammer,5.17,4.56,5.59
invasion,2.45,6.59,3
runner,5.68,5.05,5.9
notion,5.86,4.25,5.42
spelling,5.75,3.62,6.53
arctic,4.45,3.88,5
strengthen,7.21,4.7,6
defend,6.3,4.55,6.64
infrared,4.39,4.41,5.25
welsh,4.53,4,4.89
belly,4.37,3.75,4.96
aggressive,3.08,5.87,5.49
sculpture,6.5,3.48,5.62
fist,2.95,4.85,4.95
motivation,6.24,4.73,6.35
mere,4.68,3.71,5.21
surplus,5.68,3.6,6.58
elder,6.11,2.5,4.14
